cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
36955,38688.2470,42259.0656,14.5000,6.6671,0.3824,0.7941,3
36956,38589.6979,42274.7969,24.0000,11.0352,0.9706,0.5394,3
36957,38627.0520,42259.0798,10.0000,4.5980,0.6418,1.1115,3
36961,38668.5371,42282.4862,22.5000,10.3455,1.0000,1.3124,3
36963,38705.6996,42303.2058,11.0000,5.0578,0.2632,0.1747,3
36965,38572.3112,42300.7045,23.0000,10.5754,0.7869,0.4990,3
36968,38634.6710,42311.2061,15.5000,7.1269,0.5574,0.4705,3
36973,38624.3947,42336.1272,13.0000,5.9774,0.9394,0.2887,3
36981,38548.2335,42357.0958,12.0000,5.5176,1.0000,0.1908,3
36988,38634.0545,42383.6182,11.0000,5.0578,1.0000,0.1772,3
36991,38586.2821,42392.9744,10.0000,4.5980,1.0000,0.1884,3
36996,38554.0396,42407.0793,10.0000,4.5980,1.0000,0.2438,3
36998,38617.9712,42440.8354,11.5000,5.2877,1.0000,0.2201,3
37001,38590.6587,42458.2695,12.5000,5.7475,1.0000,0.2311,3
37003,38569.4218,42493.8242,17.0000,7.8166,0.9344,0.2487,3
37004,38593.1312,42503.9823,10.0000,4.5980,0.5000,0.2396,3
37005,38576.8135,42532.4126,10.0000,4.5980,1.0000,0.2726,3
37006,38571.2335,42582.1149,13.0000,5.9774,0.7143,0.1943,3
37008,38587.4950,42626.7485,10.0000,4.5980,0.4194,0.1746,3
37009,38623.3923,42616.9945,5.5000,2.5289,0.4255,0.5271,2
37011,38557.5150,42656.3081,10.0000,4.5980,1.0000,0.2419,3
37012,38607.1818,42654.8909,9.5000,4.3681,1.0000,0.2900,3
37014,38689.3295,42671.9341,10.0000,4.5980,0.0000,0.2493,3
37015,38581.5863,42685.8353,10.5000,4.8279,1.0000,0.2420,3
37018,38647.6442,42697.0150,7.0000,3.2186,0.5526,0.8451,3
37019,38594.2201,42710.3396,8.0000,3.6784,0.5128,0.3686,3
37020,38678.7561,42725.5180,13.5000,6.2073,0.9091,2.9491,3
37021,38649.6728,42735.5382,6.0000,2.7588,0.5000,0.8349,3
37022,38601.4167,42749.7652,8.5000,3.9083,0.0000,0.2367,3
37023,38654.2903,42775.6796,9.5000,4.3681,0.3600,0.7621,3
37035,38633.1321,42473.1905,8.0000,3.6784,0.0517,0.3687,3
37038,38559.6476,42628.6571,10.0000,4.5980,1.0000,0.1986,3
37039,38596.5230,42785.3306,11.5000,5.2877,0.9706,3.0123,3
37928,38238.1579,42914.8437,9.5000,4.3681,0.5909,0.4556,3
37929,38056.0403,42913.6882,9.5000,4.3681,1.0000,0.1894,3
37930,38182.9267,42923.7380,12.5000,5.7475,0.8462,0.2098,3
37933,38098.1582,42914.3277,13.0000,5.9774,1.0000,0.1628,3
37935,38285.4898,42934.6327,9.5000,4.3681,1.0000,3.1057,3
37936,38320.7140,42941.8051,11.0000,5.0578,0.5610,3.1759,3
37937,38246.3671,42939.5654,9.5000,4.3681,0.6667,0.2995,3
37938,38109.2138,42941.3696,14.5000,6.6671,0.7941,0.1957,3
89443,38523.7697,42251.2606,7.0000,3.2186,1.0000,0.2218,2
89444,38464.1093,42259.7623,10.0000,4.5980,1.0000,0.2146,3
