cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
9593,85813.8889,26049.1634,11.0000,5.0578,0.7083,2.6536,3
9596,85360.8785,26296.7643,18.0000,8.2764,0.7237,3.1409,3
9597,85351.8546,26336.7051,18.0000,8.2764,0.8154,2.6729,3
9598,85661.0972,26368.0898,6.5000,2.9887,0.2143,0.3396,1
9599,85699.1989,26388.8656,7.5000,3.4485,0.4750,0.3186,1
9600,85349.8127,26410.2876,14.0000,6.4372,0.9178,2.9800,3
9601,85741.7504,26420.4260,17.5000,8.0465,0.9386,3.2677,3
9602,85667.1109,26427.2506,7.5000,3.4485,0.2656,0.3280,1
9603,85696.8732,26449.3894,7.5000,3.4485,1.0000,2.6619,3
9604,85333.1714,26449.4095,5.0000,2.2990,0.0000,0.2016,1
9605,85629.4944,26463.9963,8.5000,3.9083,1.0000,2.7639,3
9606,85664.9179,26462.9641,10.0000,4.5980,0.0000,0.2561,3
9607,85216.2787,26500.6069,11.0000,5.0578,1.0000,3.1526,3
9608,85352.9486,26498.6472,8.5000,3.9083,0.9600,2.8958,3
9609,85612.8802,26502.5264,15.5000,7.1269,1.0000,2.8850,3
9610,85313.0603,26507.9238,5.5000,2.5289,0.4595,0.5380,2
9611,85287.4667,26541.3815,8.5000,3.9083,0.4444,0.2960,3
9612,85319.5179,26559.9846,11.5000,5.2877,0.3871,1.6674,3
9613,85285.2016,26585.2290,20.0000,9.1960,0.8462,3.3149,3
9614,85664.4576,26622.8350,11.0000,5.0578,0.9677,2.9134,3
9615,85401.5428,26631.5098,10.0000,4.5980,0.9302,2.8527,3
9620,85558.3333,26146.5037,6.0000,2.7588,1.0000,2.5063,3
9621,85750.1440,26175.4438,7.5000,3.4485,1.0000,2.6453,3
9622,85836.1474,26175.5360,19.0000,8.7362,1.0000,3.0226,3
9623,85845.4885,26230.5699,7.0000,3.2186,0.0541,0.2450,1
9624,85692.5290,26244.2333,9.0000,4.1382,0.9865,2.6625,3
9625,85191.1374,26250.5172,5.0000,2.2990,1.0000,1.6680,3
9626,85849.9212,26329.4000,9.0000,4.1382,1.0000,2.8525,3
9627,85311.3763,26351.0920,7.0000,3.2186,1.0000,2.9709,3
9628,85742.6253,26363.5036,5.5000,2.5289,0.6786,0.2621,2
9629,85555.8167,26388.3000,12.5000,5.7475,0.9222,2.6651,3
9630,85403.9632,26385.9823,10.0000,4.5980,0.7708,2.9651,3
9631,85288.9225,26388.0354,6.5000,2.9887,0.1719,0.4798,2
9632,85606.2939,26401.1319,12.0000,5.5176,0.9268,3.0446,3
9633,85852.2852,26434.1213,21.0000,9.6558,0.7925,3.1551,3
9634,85622.9456,26432.0204,10.5000,4.8279,0.9783,3.0373,3
9635,85604.3778,26454.8970,10.0000,4.5980,0.9792,2.9132,3
9636,85640.4970,26506.4091,8.0000,3.6784,0.0000,0.2944,3
9637,85424.2247,26502.9862,13.0000,5.9774,1.0000,2.8794,3
9638,85585.5708,26505.8196,15.0000,6.8970,1.0000,2.8172,3
9639,85394.7604,26553.7307,6.0000,2.7588,1.0000,3.2993,3
9640,85465.2183,26556.0206,14.5000,6.6671,1.0000,3.2286,3
9641,85841.6785,26579.7099,6.0000,2.7588,0.9524,3.0649,3
9642,85698.9530,26566.0879,11.5000,5.2877,1.0000,3.0276,3
9643,85628.5042,26595.3810,7.0000,3.2186,1.0000,2.8169,3
9644,85440.3157,26609.2399,8.0000,3.6784,1.0000,2.6614,3
9646,85798.8326,26654.0744,6.5000,2.9887,1.0000,3.0679,3
9647,85654.4465,26661.7645,8.0000,3.6784,1.0000,2.8046,3
9669,85876.2529,26304.2542,14.0000,6.4372,0.9265,2.0520,3
9682,85884.6425,26667.4903,14.0000,6.4372,0.9125,2.4176,3
9697,85883.2960,26387.8057,8.5000,3.9083,1.0000,3.0688,3
10150,85625.0908,26691.8748,8.0000,3.6784,0.3636,0.3402,3
10151,85658.4714,26720.0673,5.0000,2.2990,0.1282,0.3637,1
10152,85700.8519,26706.9821,8.5000,3.9083,0.9315,3.1052,3
10165,85383.4016,26688.9484,9.5000,4.3681,0.9828,3.2179,3
10166,85850.2597,26701.2553,9.0000,4.1382,0.9333,2.8521,3
10167,85810.0607,26697.8065,10.5000,4.8279,0.9571,2.9274,3
10168,85706.5533,26748.2000,8.5000,3.9083,1.0000,2.9497,3
10169,85792.6534,26744.0612,6.5000,2.9887,0.8000,3.0522,3
50777,85863.4622,26063.2545,15.5000,7.1269,1.0000,2.9639,3
50984,85849.4626,26692.3728,13.5000,6.2073,0.8587,2.9900,3
51178,85771.5637,26574.9504,12.5000,5.7475,0.9815,3.0089,3
51183,85837.5976,26576.0405,5.0000,2.2990,0.9718,3.1152,3
