cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
57443,31729.4370,60123.0148,7.5000,3.4485,0.3333,0.2612,1
57444,31823.7857,60141.9796,20.0000,9.1960,1.0000,2.8072,3
57447,31799.1124,60168.6466,6.0000,2.7588,0.2667,0.2651,1
57448,31739.6061,60173.3217,12.0000,5.5176,1.0000,0.2831,3
57449,31702.3833,60164.0037,13.0000,5.9774,1.0000,0.2675,3
57452,31760.5745,60193.8599,13.0000,5.9774,0.9200,0.1995,3
57454,31863.1997,60194.2952,9.5000,4.3681,0.2241,0.2505,3
57455,31710.8778,60214.4385,20.0000,9.1960,0.9333,0.1878,3
57458,31833.3940,60212.0401,12.0000,5.5176,0.6200,0.1660,1
57460,31936.1092,60233.7348,7.0000,3.2186,0.6486,0.4294,3
57461,31822.9665,60243.6820,21.0000,9.6558,0.9016,0.1583,1
57462,31994.0268,60238.8650,7.5000,3.4485,0.3478,0.2449,1
57463,32055.7699,60249.4688,9.5000,4.3681,0.0000,0.3726,3
57465,31720.8362,60263.6482,14.0000,6.4372,1.0000,0.1873,3
57466,31907.9885,60277.8379,14.5000,6.6671,1.0000,1.9882,3
57467,32082.6057,60262.5262,5.5000,2.5289,0.0244,0.3790,2
57469,31842.6622,60285.9268,11.5000,5.2877,1.0000,0.2196,3
57470,31971.4119,60287.8493,13.0000,5.9774,0.6667,0.7486,3
57472,32113.1140,60279.6140,7.5000,3.4485,0.6757,0.4802,3
57473,32151.8418,60294.6886,7.0000,3.2186,0.2143,0.5037,2
57474,32076.2692,60292.7291,7.0000,3.2186,0.4468,0.6541,2
57476,31749.4527,60320.6976,8.0000,3.6784,0.6818,0.2180,3
57477,31869.9649,60321.6053,8.5000,3.9083,0.4565,0.2242,3
57478,31815.6107,60315.7532,19.0000,8.7362,0.7000,0.1974,3
57479,31998.4171,60328.7398,11.0000,5.0578,0.1429,2.0586,3
57481,31915.3574,60328.3814,9.0000,4.1382,0.0233,0.2458,3
57483,31723.6569,60354.6654,10.0000,4.5980,0.2778,0.8754,3
57487,31810.2766,60187.5248,13.5000,6.2073,0.8696,0.2476,3
57488,32091.7578,60350.7031,21.5000,9.8857,0.9322,2.8846,3
57490,31857.5310,60342.0456,11.0000,5.0578,0.4118,0.2794,3
57505,32152.8783,60294.4842,7.0000,3.2186,0.1724,0.5108,2
93746,32356.3765,60280.1343,17.0000,7.8166,0.8095,2.9109,3
93755,32357.7744,60312.4478,12.0000,5.5176,0.5417,3.5317,3
93758,32033.1214,60516.4074,15.0000,6.8970,1.0000,2.4812,3
93759,31885.4226,60537.5595,10.0000,4.5980,1.0000,2.5757,3
