cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
30145,81164.4883,57094.6020,18.5000,8.5063,1.0000,3.0526,3
30146,81121.1121,57084.5404,13.5000,6.2073,0.8519,2.7765,3
30147,81093.1124,57158.0578,20.5000,9.4259,1.0000,3.2015,3
30148,80997.4318,57235.0067,11.0000,5.0578,0.9756,3.0420,3
30149,80986.1590,57625.8659,13.0000,5.9774,0.8136,3.1326,3
30150,81542.8804,57645.2127,17.0000,7.8166,0.8750,3.1726,3
30152,81262.3373,57138.4706,9.0000,4.1382,1.0000,2.5701,3
30153,81052.7128,57148.1533,15.5000,7.1269,1.0000,3.1022,3
30154,81195.4256,57146.0716,6.0000,2.7588,0.1750,0.4656,2
30155,81132.1290,57163.8425,13.0000,5.9774,1.0000,2.9125,3
30156,81169.6910,57173.3151,19.0000,8.7362,0.9744,3.1597,3
30157,81219.5725,57197.7826,20.5000,9.4259,1.0000,3.1206,3
30158,80995.6799,57406.0896,7.0000,3.2186,0.6250,2.1304,3
30159,81212.2167,57639.1393,15.0000,6.8970,0.7031,2.9879,3
30634,81567.7758,57564.1341,12.0000,5.5176,0.8349,3.2421,3
30635,80986.4132,57626.3513,10.5000,4.8279,0.8776,3.1801,3
30636,81542.4049,57644.8211,15.5000,7.1269,0.9405,3.1558,3
30645,81014.4677,57576.6129,22.5000,10.3455,0.8182,3.0243,3
30646,81212.4263,57640.1283,19.5000,8.9661,0.5733,3.0444,3
30913,81471.7014,57717.7095,12.5000,5.7475,0.7671,3.3904,3
57970,81168.2294,57087.9518,17.0000,7.8166,1.0000,3.0767,3
57971,81567.6435,57085.6153,14.5000,6.6671,0.6296,3.1759,3
57972,81606.0290,57095.1331,8.0000,3.6784,1.0000,3.0579,3
58001,81037.1920,57146.6073,14.5000,6.6671,0.9231,3.0931,3
58013,81562.3868,57558.6613,12.0000,5.5176,0.8090,3.2822,3
58014,81465.7535,57641.0323,21.0000,9.6558,0.2903,2.7946,3
58015,81540.0561,57638.6820,17.0000,7.8166,0.9804,2.8438,3
58017,81449.6726,57521.0074,20.0000,9.1960,0.7931,3.2102,3
