cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
19701,37320.1410,42874.1795,10.0000,4.5980,1.0000,0.1872,1
19702,37723.2752,42905.6017,12.0000,5.5176,1.0000,0.1408,1
19703,37659.5176,42941.2730,5.5000,2.5289,0.0488,0.2505,1
19754,37739.3093,42862.1862,18.0000,8.2764,1.0000,0.1413,1
19755,37603.7533,42878.0210,4.5000,2.0691,1.0000,0.1820,2
19756,37851.9373,42880.0513,10.5000,4.8279,1.0000,0.1616,3
19757,37333.7229,42894.7952,6.0000,2.7588,1.0000,0.1906,2
19758,37401.3693,42902.5669,6.0000,2.7588,1.0000,0.1659,1
19759,37432.2724,42942.2043,4.5000,2.0691,0.9000,0.1638,1
19760,37756.0178,42936.2533,9.0000,4.1382,1.0000,0.2073,3
54895,37895.5442,42710.4217,9.0000,4.1382,1.0000,0.1883,3
54896,38012.8142,42703.5339,9.0000,4.1382,1.0000,0.1734,3
54897,37806.7037,42719.9630,7.0000,3.2186,1.0000,0.2152,2
54898,37860.4390,42709.5122,11.0000,5.0578,1.0000,0.1342,1
54899,37723.7638,42719.6092,6.0000,2.7588,1.0000,0.1511,1
54900,37979.0899,42735.2809,8.5000,3.9083,1.0000,0.2046,3
54901,37663.9736,42735.1626,8.0000,3.6784,0.9167,0.1791,1
54902,37761.1704,42750.6815,5.5000,2.5289,1.0000,0.1697,1
54903,37339.1042,42760.4911,11.5000,5.2877,1.0000,0.1804,3
54904,37891.1646,42763.4557,7.0000,3.2186,1.0000,0.2432,2
54905,37739.8355,42772.8658,7.0000,3.2186,1.0000,0.2035,2
54907,37690.1884,42776.1377,9.0000,4.1382,1.0000,0.1538,1
54908,37901.2759,42785.0460,7.0000,3.2186,1.0000,0.2546,2
54909,37781.3994,42797.0472,10.0000,4.5980,0.8462,0.1727,3
54910,37618.2532,42801.0388,7.0000,3.2186,1.0000,0.2714,2
54911,37809.2266,42800.2049,10.0000,4.5980,1.0000,0.2049,3
54912,37392.2887,42797.2654,8.0000,3.6784,1.0000,0.2602,3
54913,37839.3410,42795.7701,9.5000,4.3681,1.0000,0.2044,3
54914,37909.0356,42805.8952,5.5000,2.5289,0.9189,0.1886,2
54915,37655.1369,42814.4226,9.0000,4.1382,1.0000,0.1670,1
54916,37835.6169,42825.6368,8.5000,3.9083,0.9455,0.1765,1
54917,37786.8141,42835.9103,6.5000,2.9887,1.0000,0.1798,2
54918,37620.8722,42835.2481,9.0000,4.1382,1.0000,0.2122,3
54920,37739.8599,42838.0896,8.5000,3.9083,1.0000,0.1884,3
54921,37679.5088,42845.2180,10.5000,4.8279,0.9804,0.1674,1
54922,37901.3206,42843.0870,7.0000,3.2186,1.0000,0.2020,2
54923,37313.7149,42849.1491,8.0000,3.6784,1.0000,0.2723,3
54925,37901.5264,42899.8905,11.0000,5.0578,1.0000,0.2815,3
54999,37922.0285,42729.5840,10.0000,4.5980,0.9574,0.1615,1
55000,37831.1515,42775.8052,9.5000,4.3681,1.0000,0.1595,1
55001,37555.2323,42795.3737,5.0000,2.2990,1.0000,0.2004,1
55002,37937.2333,42803.1333,5.0000,2.2990,1.0000,0.2180,2
55003,37591.1762,42806.1030,6.0000,2.7588,1.0000,0.1892,2
55004,37752.3352,42813.7616,12.5000,5.7475,0.9333,0.1270,1
55005,37952.5155,42923.3677,5.0000,2.2990,1.0000,0.2994,2
