cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
13616,85882.5650,32531.0071,10.0000,4.5980,0.9211,3.0945,3
13995,85203.0777,33015.2213,11.0000,5.0578,0.8435,2.8764,3
13996,85752.2562,33062.7410,6.5000,2.9887,0.6667,0.3710,3
13997,85869.1348,33082.3571,6.0000,2.7588,0.3878,0.3001,1
14012,85288.3098,33040.2222,9.5000,4.3681,0.9804,2.8584,3
14013,85711.2832,33048.4307,7.5000,3.4485,0.4583,0.3479,2
52236,85299.4067,32450.5306,15.0000,6.8970,1.0000,2.9782,3
52251,85585.5558,32423.0281,13.5000,6.2073,0.8958,2.8087,3
52382,85318.4302,33051.0308,12.5000,5.7475,1.0000,3.2271,3
52384,85292.8149,32454.7970,10.5000,4.8279,1.0000,3.1526,3
52385,85283.6434,32621.2791,6.0000,2.7588,1.0000,2.8564,3
52386,85288.6626,32658.0726,11.0000,5.0578,0.8625,2.4224,3
52387,85223.2477,32684.2151,22.0000,10.1156,0.9892,3.2208,3
52388,85258.2871,32695.7687,11.5000,5.2877,0.9074,3.2519,3
52389,85302.3177,33000.2656,16.5000,7.5867,0.8810,3.0509,3
52391,85804.2444,32582.1000,9.0000,4.1382,1.0000,2.5982,3
52393,85793.7726,32903.4419,9.0000,4.1382,0.1724,0.4976,3
52396,85821.7971,32921.3841,5.0000,2.2990,1.0000,2.4574,3
52566,85693.0448,32943.6076,11.0000,5.0578,1.0000,2.8101,3
52568,85757.4709,32863.3731,11.5000,5.2877,1.0000,2.9661,3
52569,85534.0133,32895.0963,10.5000,4.8279,1.0000,2.5556,3
52570,85608.5571,32909.6073,8.0000,3.6784,0.9388,3.4066,3
52571,85652.6680,32922.4819,7.5000,3.4485,0.8367,2.1855,3
52572,85719.0310,32919.0052,6.0000,2.7588,0.3580,0.5554,1
