cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
3729,52071.1136,19944.5909,8.0000,3.6784,1.0000,0.2761,3
3731,52050.0016,19966.7387,7.0000,3.2186,1.0000,0.2326,2
3754,52093.8178,19789.1537,8.5000,3.9083,1.0000,3.0329,3
4177,52063.5084,20199.9006,13.0000,5.9774,0.9438,0.2300,3
4191,52044.8391,20313.9494,13.5000,6.2073,0.8085,0.2293,3
4263,51994.1081,20342.9101,12.0000,5.5176,0.9494,2.8128,3
4290,51996.9284,20409.8526,21.5000,9.8857,1.0000,2.8510,3
4292,52094.9807,20415.2617,6.0000,2.7588,0.0000,0.2833,1
48487,51981.7702,19729.6045,10.5000,4.8279,1.0000,0.3214,3
48495,51942.4897,19761.0521,10.0000,4.5980,1.0000,0.1991,3
48648,51979.9567,19984.1818,6.5000,2.9887,1.0000,0.2759,2
48649,51927.2719,20008.7684,8.0000,3.6784,1.0000,0.1988,3
48650,51887.2889,20045.6444,10.0000,4.5980,1.0000,0.1827,3
48651,51936.9574,20052.4397,9.0000,4.1382,1.0000,0.2638,3
48652,52007.9305,20064.0815,10.5000,4.8279,1.0000,0.2230,3
48653,51951.6633,20090.1967,6.5000,2.9887,1.0000,0.1847,2
48654,51985.5971,20093.1411,7.0000,3.2186,1.0000,0.2871,2
48655,51939.2635,20119.3623,9.0000,4.1382,1.0000,0.3339,3
48656,51934.0744,20146.4950,15.5000,7.1269,0.7879,0.1945,3
48657,52001.9721,20187.4304,9.0000,4.1382,1.0000,0.1993,3
48663,52018.0407,19978.3089,3.0000,1.3794,1.0000,0.3202,2
48664,51979.9226,20203.1756,9.0000,4.1382,0.6400,0.1554,1
48665,51937.0525,20226.0571,14.5000,6.6671,1.0000,2.7640,3
48667,51985.1824,20291.4268,20.0000,9.1960,1.0000,2.9422,3
48668,51958.5188,20327.7855,21.5000,9.8857,0.6061,3.1436,3
48670,51995.6058,20328.8333,9.0000,4.1382,1.0000,3.2224,3
48671,51874.6667,20327.9932,9.5000,4.3681,1.0000,3.2119,3
48851,51956.0053,20341.5900,20.0000,9.1960,0.7821,2.7675,3
48853,51915.8342,20380.5025,6.5000,2.9887,0.7273,0.1924,2
48900,52047.5822,20083.2113,8.5000,3.9083,1.0000,0.1872,3
48927,51969.2308,20256.9048,14.0000,6.4372,1.0000,2.7279,3
48928,51874.7511,20339.9431,10.5000,4.8279,0.9167,3.2520,3
