cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
45390,65446.8303,73219.9039,10.0000,4.5980,1.0000,3.0315,3
45391,65220.1252,73216.9788,7.5000,3.4485,1.0000,0.2865,2
45392,65343.8024,73232.1836,9.0000,4.1382,1.0000,0.3121,3
45393,65380.9308,73251.3648,6.0000,2.7588,0.4634,0.2970,2
45394,65428.9970,73280.6131,17.0000,7.8166,0.9737,2.7072,3
45395,65310.1621,73321.6758,6.0000,2.7588,0.9787,0.4601,3
45396,65372.2715,73323.2921,6.0000,2.7588,0.9778,0.1977,2
45397,65341.5357,73330.4286,5.0000,2.2990,0.9815,0.3424,2
45398,64913.6320,73363.9142,11.0000,5.0578,0.9400,2.4049,3
45399,64871.0868,73358.4783,12.0000,5.5176,1.0000,2.9552,3
45400,65322.7506,73387.3901,9.0000,4.1382,0.4423,0.3657,3
45401,64815.4140,73400.4014,12.0000,5.5176,0.8143,2.9614,3
45402,65403.7576,73440.9583,8.5000,3.9083,1.0000,0.3448,3
45403,65373.6621,73428.5306,10.0000,4.5980,0.9394,0.1791,3
45404,65446.6621,73458.1279,10.0000,4.5980,0.9559,0.2164,3
45405,65405.1189,73478.5011,9.0000,4.1382,0.7333,0.2706,3
45406,65435.0646,73516.7434,6.0000,2.7588,0.4706,0.2901,1
45412,65406.1795,73243.0468,6.5000,2.9887,1.0000,2.7382,3
45413,65213.9000,73266.6833,11.5000,5.2877,0.4231,1.0350,3
45414,64868.3719,73283.0561,3.0000,1.3794,1.0000,3.1070,3
45415,65085.4914,73291.4511,7.5000,3.4485,0.9808,2.8488,3
45416,64789.8023,73283.7211,18.0000,8.2764,0.9800,2.6445,3
45417,64978.5896,73341.8909,8.0000,3.6784,1.0000,3.0024,3
45418,65420.4000,73367.3619,3.0000,1.3794,0.6061,0.2431,2
45419,64995.6010,73392.6868,10.5000,4.8279,0.9875,3.0751,3
45420,65004.1170,73441.4317,8.0000,3.6784,0.9683,3.0391,3
45421,65370.2207,73499.0610,8.0000,3.6784,0.0000,0.3492,3
45422,65224.4716,73644.7502,14.5000,6.6671,0.8421,2.9644,3
45423,64798.9237,73688.2985,18.5000,8.5063,0.9481,2.7926,3
45424,64983.6582,73832.8225,20.5000,9.4259,0.9785,3.0394,3
45431,65466.8981,73508.7898,12.5000,5.7475,1.0000,0.2190,3
45827,64823.1558,73846.7790,5.5000,2.5289,0.9737,0.2600,2
45828,64913.2953,73897.5342,6.0000,2.7588,0.4694,0.1889,1
45829,64772.3699,73917.8252,5.0000,2.2990,1.0000,1.1749,3
45844,64898.2650,73864.9538,7.5000,3.4485,0.0000,0.2510,1
62313,64893.8510,73861.9217,6.0000,2.7588,0.0000,0.2388,1
62322,65375.2144,73329.5775,8.5000,3.9083,0.9123,0.2058,3
