cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
34581,84210.8326,40250.0896,7.5000,3.4485,0.5306,3.1452,3
34582,84334.5462,40372.6168,16.0000,7.3568,0.8551,2.9194,3
34587,84150.1111,40145.3620,9.5000,4.3681,0.5405,2.5976,3
34588,84163.4796,40225.2564,15.5000,7.1269,0.7538,3.1937,3
34589,84198.9087,40268.3577,8.5000,3.9083,0.6296,3.0518,3
34929,84088.5670,40591.3358,10.5000,4.8279,0.6200,3.1220,3
34930,83858.0796,40607.4743,16.0000,7.3568,0.9000,3.0066,3
34932,84150.2134,40146.2011,9.0000,4.1382,0.3200,2.5658,3
34937,84162.8330,40225.0347,12.0000,5.5176,0.7368,3.1781,3
34938,84217.3461,40230.8233,7.0000,3.2186,0.4872,2.9814,2
34939,84211.8925,40250.9551,7.5000,3.4485,0.4043,3.1368,2
34942,84336.2762,40373.4769,13.5000,6.2073,0.8750,2.9055,3
34944,84198.2654,40268.1759,9.0000,4.1382,0.7069,3.0246,3
34946,84129.6864,40527.8424,8.5000,3.9083,0.8889,2.5582,3
35343,84127.4645,40524.2199,9.5000,4.3681,0.7455,2.3839,3
35344,84090.4555,40593.5954,11.5000,5.2877,0.6596,3.1389,3
35345,83860.4697,40607.1948,16.0000,7.3568,0.8289,3.0236,3
88681,84027.1838,40184.1153,21.5000,9.8857,0.6491,3.3402,3
88684,84412.4381,40215.3810,17.5000,8.0465,0.3636,2.9003,3
88689,84434.5315,40211.2072,10.0000,4.5980,0.5185,2.8170,3
88863,84092.6578,40645.3658,12.0000,5.5176,0.5385,2.8029,3
