cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
20639,83645.4784,44362.9924,8.5000,3.9083,0.7895,0.4833,3
20640,83662.8812,44391.4421,9.0000,4.1382,0.0000,0.2524,3
20641,83088.8961,44511.0505,6.0000,2.7588,0.0000,0.2789,2
20642,83232.5447,44549.6033,9.0000,4.1382,0.7436,0.3708,3
20643,83206.6617,44551.0378,11.0000,5.0578,0.1795,0.2095,3
20644,83163.2243,44560.1280,4.5000,2.0691,0.5227,0.2629,2
20645,83277.8320,44561.2988,8.0000,3.6784,0.9487,0.2917,3
20646,83419.0726,44553.7732,7.5000,3.4485,0.4889,1.1026,2
20647,83370.2653,44568.8209,9.0000,4.1382,1.0000,0.3719,3
20648,83431.6926,44595.7385,5.5000,2.5289,0.3902,0.4248,2
20649,83210.8721,44609.4259,11.0000,5.0578,1.0000,0.2819,3
20650,83331.5747,44611.2567,10.0000,4.5980,0.9778,0.1941,3
20652,83107.9719,44624.1004,10.0000,4.5980,0.9444,0.1904,3
20653,83160.4548,44631.9190,15.5000,7.1269,0.9348,0.2972,3
20654,83416.7889,44621.5963,8.0000,3.6784,0.3243,0.2299,3
20655,83197.1931,44630.0483,9.0000,4.1382,1.0000,0.6324,3
20656,83381.6027,44631.0631,4.0000,1.8392,0.5660,0.2642,2
20657,83439.0794,44637.2057,7.5000,3.4485,0.2549,0.2883,2
20659,83137.5632,44649.3678,7.0000,3.2186,1.0000,0.3279,2
20660,83171.8648,44653.8608,11.5000,5.2877,0.8108,0.1758,3
20661,83277.8783,44661.1913,8.0000,3.6784,0.0769,0.3202,3
20662,83238.4903,44669.4275,4.0000,1.8392,0.5000,0.3554,3
20663,83115.2931,44689.4434,12.0000,5.5176,0.8684,0.2396,3
20664,83286.2032,44694.6851,21.5000,9.8857,1.0000,3.0474,3
20667,83156.4462,44719.8632,16.0000,7.3568,0.7843,0.2461,3
20668,83082.1303,44707.7212,7.5000,3.4485,0.9091,0.2804,2
20670,83107.3906,44744.6962,19.0000,8.7362,0.8125,0.2838,3
20671,83144.2129,44753.9036,9.0000,4.1382,0.9778,0.2516,3
20673,83246.5509,44771.7614,21.0000,9.6558,0.9512,2.9459,3
20675,83199.3210,44772.0938,5.0000,2.2990,0.5405,0.3257,3
20676,83149.4216,44798.6631,10.5000,4.8279,1.0000,0.2905,3
20677,83072.4099,44800.3285,5.5000,2.5289,0.3939,0.3603,2
20682,83560.0590,44366.7378,5.5000,2.5289,0.2586,0.2206,1
20683,83623.6833,44353.5042,9.0000,4.1382,0.7632,0.4372,3
20684,83529.7425,44392.6020,16.0000,7.3568,1.0000,2.7296,3
20685,83606.6434,44411.8788,7.0000,3.2186,0.3966,0.9310,2
20686,83126.5326,44550.1839,6.0000,2.7588,1.0000,2.2793,3
20687,83343.2597,44573.6494,9.0000,4.1382,1.0000,0.2775,3
20688,83515.0270,44645.6126,8.0000,3.6784,0.0800,0.6861,3
20689,83376.6836,44674.0169,14.0000,6.4372,0.8636,3.4652,3
20690,83330.9429,44678.2963,10.5000,4.8279,0.8857,3.2533,3
20691,83244.6854,44725.0062,21.0000,9.6558,0.8776,3.0083,3
20692,83230.1600,44749.1600,21.0000,9.6558,0.9355,2.5712,3
21535,83433.7593,44990.0429,5.0000,2.2990,0.6809,1.0994,3
21536,83479.9032,44999.4378,6.5000,2.9887,0.4375,0.4468,2
21537,83168.8797,44997.8145,5.5000,2.5289,1.0000,0.7850,3
21542,83083.3745,45023.0966,16.0000,7.3568,0.6145,2.8801,3
21543,83118.0097,45043.4016,19.0000,8.7362,0.9818,3.0376,3
55227,83245.9392,44869.1321,8.0000,3.6784,1.0000,0.1744,3
55228,83291.7382,44881.4397,6.0000,2.7588,0.9661,0.3147,2
55229,83334.7905,44883.8626,5.0000,2.2990,0.2857,0.3522,2
55230,83345.2778,44914.4236,6.5000,2.9887,0.5294,0.2074,2
55231,83384.9298,44931.8278,5.0000,2.2990,0.7027,0.3521,3
55232,83223.4548,44962.3324,12.0000,5.5176,0.9800,0.1871,3
55237,83768.8423,44829.9732,17.0000,7.8166,0.9455,3.0507,3
55239,83436.6847,44942.2118,7.0000,3.2186,0.4737,1.3028,2
55240,83749.9184,44969.1429,18.0000,8.2764,0.9714,3.1408,3
55394,83206.5083,44612.3500,13.0000,5.9774,1.0000,0.3095,3
55395,83206.7767,44661.8700,11.0000,5.0578,0.2500,0.2196,3
55396,83201.3024,44732.0892,5.0000,2.2990,0.7895,1.5028,3
55449,83150.7944,44721.5888,13.5000,6.2073,0.8966,0.2343,3
55626,83217.3781,44854.8632,15.5000,7.1269,1.0000,0.2040,3
55627,83486.5297,44936.7137,13.5000,6.2073,0.3000,1.6945,3
55628,83754.4452,44974.0766,17.5000,8.0465,0.9310,3.0573,3
