cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
15779,84467.2407,36343.1270,9.5000,4.3681,0.9464,2.9427,3
15783,84469.7247,36520.1286,6.0000,2.7588,0.9091,2.7960,3
16114,83942.4792,36538.5526,6.0000,2.7588,0.4189,0.2655,1
16115,84091.1164,36569.0198,15.0000,6.8970,1.0000,2.9949,3
16116,84394.9979,36560.5063,11.0000,5.0578,0.9315,2.7559,3
16117,84367.3580,36587.6650,10.0000,4.5980,1.0000,2.9847,3
16118,84342.5360,36584.7379,17.0000,7.8166,0.9315,3.4583,3
16130,83982.1503,36555.6021,9.5000,4.3681,0.9358,2.8152,3
16131,83822.8000,36580.9934,6.5000,2.9887,0.9800,2.8334,3
53139,84331.5127,35927.9974,12.5000,5.7475,0.9753,3.0037,3
53206,83805.6516,36051.7308,9.0000,4.1382,1.0000,2.9853,3
53207,83832.5302,36070.5144,13.5000,6.2073,0.8333,3.1354,3
53208,83818.6451,36110.8226,10.5000,4.8279,0.9825,2.7053,3
53209,83851.7628,35937.9640,13.0000,5.9774,0.9143,3.4687,3
53212,83779.8040,36135.4011,8.0000,3.6784,0.8136,2.9842,3
53424,84447.3881,36467.4050,6.0000,2.7588,1.0000,2.9923,3
53426,84392.7700,36499.1085,8.0000,3.6784,1.0000,3.2667,3
53427,84351.2833,36496.4914,5.5000,2.5289,0.1379,0.2326,1
53428,84348.3172,36574.1425,17.5000,8.0465,0.8200,3.5367,3
53457,83816.8260,36575.2856,6.5000,2.9887,1.0000,2.9074,3
53532,84192.7572,36448.3964,18.5000,8.5063,0.8065,2.9313,3
53536,84464.5084,36506.6882,7.5000,3.4485,1.0000,2.9354,3
