cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
13864,87367.5992,25444.6132,6.0000,2.7588,0.2353,1.9651,2
13866,87545.5995,25492.3325,13.0000,5.9774,1.0000,2.7531,3
13867,87411.1959,25518.5166,14.0000,6.4372,1.0000,2.8144,3
13874,87462.5271,25641.9974,15.5000,7.1269,0.7887,0.2387,3
13882,87307.9027,25824.9381,15.5000,7.1269,0.9474,0.1648,3
13887,87608.0239,25841.2820,7.5000,3.4485,0.8852,3.1171,3
13889,87356.5099,25845.4368,12.0000,5.5176,0.9737,0.3500,3
13893,87570.0517,25862.5561,5.0000,2.2990,0.1944,0.3477,1
13895,87313.0000,25885.5429,9.5000,4.3681,1.0000,0.3390,3
13896,87331.6983,25910.7656,14.0000,6.4372,0.6389,0.2163,3
13898,87587.3265,25899.5731,6.5000,2.9887,0.0741,0.2733,1
13899,87369.7200,25913.3667,9.5000,4.3681,1.0000,0.2604,3
13900,87474.2281,25899.7526,12.5000,5.7475,0.7667,0.3630,3
13903,87523.0376,25941.4146,7.0000,3.2186,0.3651,0.6524,2
13904,87548.5079,25963.5046,19.0000,8.7362,0.9643,2.7370,3
13905,87391.1413,25951.2539,10.0000,4.5980,0.4074,0.2606,3
13909,87627.4286,25353.7333,19.0000,8.7362,1.0000,2.9433,3
13910,87581.8577,25387.8797,9.5000,4.3681,0.8451,3.0328,3
13911,87605.3621,25404.9935,9.0000,4.1382,0.9254,2.8491,3
13913,87404.5693,25457.6696,16.5000,7.5867,0.9123,3.1724,3
13915,87616.0566,25544.4452,10.0000,4.5980,0.9792,2.4278,3
13916,87379.4109,25557.6981,7.0000,3.2186,0.0222,0.5693,2
13918,87431.2556,25612.3385,17.0000,7.8166,0.4231,0.2691,3
13921,87616.1875,25683.6979,15.0000,6.8970,1.0000,2.8894,3
13925,87614.6361,25868.5694,12.0000,5.5176,1.0000,3.3359,3
13926,87632.2557,25946.5667,12.5000,5.7475,0.9268,3.0001,3
13929,87815.8408,25419.4904,11.5000,5.2877,0.0968,0.5217,3
13933,87784.4472,25660.4309,14.0000,6.4372,1.0000,2.9542,3
13934,87798.7156,25690.2613,5.5000,2.5289,0.1964,0.2532,1
13935,87851.1676,25718.0648,18.0000,8.2764,0.8667,0.3084,3
13936,87877.6106,25726.6997,16.5000,7.5867,1.0000,0.3494,3
13937,87884.9888,25755.0588,16.5000,7.5867,1.0000,0.3587,3
13938,87951.3604,25761.3876,8.0000,3.6784,0.0000,0.2864,3
13939,87914.2489,25771.6306,22.5000,10.3455,0.5918,0.2252,3
13940,87971.2497,25792.9562,6.0000,2.7588,0.2449,0.2725,1
13941,87918.5613,25844.3665,17.0000,7.8166,0.8750,0.2317,3
13942,87954.5252,25850.0098,12.5000,5.7475,1.0000,0.2870,3
13943,87985.7449,25877.3036,5.0000,2.2990,0.3846,0.7900,2
13945,87720.5801,25975.0736,10.0000,4.5980,1.0000,2.7202,3
13946,87816.6338,25970.0000,12.0000,5.5176,0.7647,0.1910,3
13947,87874.6750,25977.5021,10.0000,4.5980,0.8431,0.5560,3
13948,87769.6854,25384.4288,9.0000,4.1382,0.3750,0.6385,3
13949,87855.5224,25378.2756,8.5000,3.9083,0.1818,0.8759,3
13954,87748.7741,25730.0620,18.5000,8.5063,0.9077,3.0258,3
13955,87799.4648,25751.0581,13.0000,5.9774,0.9870,3.2246,3
13956,87869.4281,25783.4967,10.5000,4.8279,0.3333,0.2962,3
13957,87656.8918,25843.1799,7.0000,3.2186,0.8049,3.0024,3
13959,87686.9322,25952.0000,11.0000,5.0578,0.9767,2.9097,3
13961,87699.2704,25980.0886,11.0000,5.0578,0.9231,3.0003,3
14237,87851.2386,25718.4000,18.5000,8.5063,0.8462,0.3050,3
14238,87876.6286,25727.2740,23.0000,10.5754,0.9744,0.3477,3
14239,87885.2568,25754.7732,21.5000,9.8857,1.0000,0.3627,3
14240,87950.3204,25760.6181,7.0000,3.2186,0.0270,0.6094,2
14241,87914.3417,25771.2267,17.5000,8.0465,0.5345,0.2257,3
