cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
62501,30421.7530,62675.1554,12.0000,5.5176,1.0000,0.2919,3
62504,30513.1560,62693.6099,11.0000,5.0578,0.7500,0.2759,3
62505,30463.2857,62699.8065,8.0000,3.6784,0.7750,0.1764,1
62506,30405.0859,62708.0707,12.0000,5.5176,0.8333,0.1932,3
62509,30690.3484,62828.9112,21.5000,9.8857,1.0000,3.0010,3
62510,30549.8526,62836.3237,8.5000,3.9083,0.6765,0.2972,3
62511,30616.8474,62861.7443,13.0000,5.9774,0.9697,0.2093,3
62512,30656.0436,62856.6938,7.0000,3.2186,0.6250,0.3561,2
62513,30553.9686,62873.9937,6.5000,2.9887,1.0000,0.2076,2
62514,30695.3333,62870.2438,9.0000,4.1382,0.2273,0.2909,3
62515,30525.8345,62893.0365,7.0000,3.2186,1.0000,0.2142,2
62516,30633.3794,62916.7101,16.5000,7.5867,0.9792,0.1896,3
62517,30484.0837,62919.5874,10.0000,4.5980,0.1020,0.2932,3
62518,30607.6042,62919.4833,14.0000,6.4372,1.0000,0.1612,1
62519,30576.0784,62946.5922,9.0000,4.1382,0.7083,0.2342,3
62520,30499.9279,62958.0958,21.0000,9.6558,1.0000,2.6483,3
62522,30453.0592,63057.9025,8.0000,3.6784,0.9221,2.4502,3
62523,30698.6135,63048.5343,11.5000,5.2877,0.9400,0.1729,1
62525,30416.8947,63135.2270,6.5000,2.9887,0.2364,0.3551,1
62526,30438.4705,63161.1946,13.0000,5.9774,0.6500,0.2484,3
62527,30421.1784,63183.9211,12.0000,5.5176,0.9444,0.2251,3
62528,30390.6007,63185.9835,10.0000,4.5980,0.3448,0.2886,3
62529,30682.3102,63193.3719,20.0000,9.1960,1.0000,2.8938,3
62530,30373.9935,63219.2614,8.5000,3.9083,0.1000,0.2408,3
62531,30344.7376,63213.8404,6.5000,2.9887,0.0000,0.3369,2
62532,30462.0411,63215.2588,13.0000,5.9774,1.0000,0.2552,3
62533,30309.2631,63237.0099,13.5000,6.2073,0.9375,2.8718,3
62535,30686.5448,63238.5494,12.5000,5.7475,0.7297,0.3509,3
62536,30451.2492,63246.2626,12.0000,5.5176,0.0000,0.3330,3
62537,30413.7879,63241.8373,11.0000,5.0578,0.5476,0.8102,3
62538,30360.0274,63267.3199,20.5000,9.4259,1.0000,2.8875,3
62539,30671.6649,63312.9145,11.5000,5.2877,0.2885,0.1947,3
62540,30315.9621,62666.0682,14.0000,6.4372,1.0000,0.2076,3
62546,30512.4094,62784.3216,6.0000,2.7588,0.4681,0.2657,1
62547,30378.6655,62812.2005,9.5000,4.3681,0.7636,3.1199,3
62548,30400.1095,62818.6253,13.5000,6.2073,0.8182,3.1298,3
62549,30467.1155,62951.5984,25.5000,11.7249,0.8788,2.7152,3
62552,30330.1667,63027.6400,19.0000,8.7362,1.0000,2.8250,3
62554,30643.0000,63222.8561,9.0000,4.1382,0.5000,0.3933,3
62555,30386.1439,63245.8912,9.5000,4.3681,0.5758,1.3001,3
62557,30548.0360,63273.4000,15.0000,6.8970,0.9286,2.8598,3
62558,30471.4701,63283.7355,22.5000,10.3455,1.0000,3.0181,3
62565,30421.2316,62675.1474,11.5000,5.2877,1.0000,0.2911,3
62566,30517.0957,62662.7407,7.5000,3.4485,0.8235,0.1945,2
62569,30513.0491,62693.5754,10.5000,4.8279,0.7419,0.2758,3
62570,30405.8042,62707.9287,10.0000,4.5980,0.8372,0.1924,3
62571,30462.9413,62699.7812,7.5000,3.4485,0.7692,0.1761,1
62574,30689.7884,62829.3088,22.5000,10.3455,1.0000,3.0035,3
62575,30550.8352,62838.2360,9.0000,4.1382,0.8049,0.3064,3
62576,30656.4155,62856.9554,7.5000,3.4485,0.6038,0.3576,2
62577,30616.6230,62861.7104,13.0000,5.9774,0.9697,0.2077,3
62578,30554.1786,62874.7619,6.0000,2.7588,1.0000,0.2071,2
