cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
25843,79685.2715,51644.4364,9.5000,4.3681,0.3095,0.6406,3
25844,80016.2557,51637.2406,4.5000,2.0691,0.4400,0.7340,2
25845,79963.8946,51683.0952,12.5000,5.7475,0.8784,3.5097,3
25846,79709.7391,51786.4248,18.5000,8.5063,0.9485,3.0536,3
25847,79662.4519,51818.0132,13.5000,6.2073,0.8676,3.0685,3
25848,79620.8380,51805.5046,12.5000,5.7475,0.7576,3.1242,3
25849,80179.5355,51850.2613,11.5000,5.2877,0.7582,3.2812,3
25850,79931.0046,51852.6076,15.5000,7.1269,1.0000,3.1934,3
25857,80031.6028,51552.5909,18.0000,8.2764,0.9706,2.9379,3
25858,79778.9403,51607.0601,14.0000,6.4372,0.9091,3.0173,3
25859,79937.2622,51655.5166,6.5000,2.9887,0.0488,0.4214,2
25860,80001.2887,51717.2623,11.0000,5.0578,0.8367,3.0962,3
25861,79939.2516,51728.3791,9.0000,4.1382,0.1026,1.5562,3
25862,79692.7714,51735.9155,7.5000,3.4485,0.9877,2.6373,3
26161,79684.7340,51644.7021,6.5000,2.9887,0.3548,0.6258,2
26162,80017.0997,51635.9875,4.5000,2.0691,0.5745,0.7174,3
26163,79709.9285,51786.5683,19.0000,8.7362,0.9767,3.0279,3
26164,79662.7242,51817.4326,14.0000,6.4372,0.8197,3.0474,3
26165,79621.0241,51804.9254,10.0000,4.5980,0.7959,3.1206,3
26166,80194.4777,51819.3061,11.0000,5.0578,0.6238,2.8629,3
26167,80181.4528,51852.0491,8.5000,3.9083,0.8111,3.2542,3
26168,79931.2871,51852.9104,12.0000,5.5176,1.0000,3.1934,3
26169,80169.2610,51898.9794,14.5000,6.6671,0.9844,2.9662,3
26170,79932.0075,51894.5990,5.0000,2.2990,0.0000,0.3222,2
26171,80120.0346,51892.7966,15.5000,7.1269,0.9362,2.8632,3
26173,80031.2129,51553.5446,17.5000,8.0465,0.9808,2.9896,3
26174,80016.7053,51581.0973,21.0000,9.6558,1.0000,3.1031,3
26175,80011.0173,51611.8002,7.0000,3.2186,0.2917,0.8842,2
26176,79935.8700,51655.5006,7.0000,3.2186,0.2500,0.6336,2
26177,79964.7584,51682.5755,13.0000,5.9774,0.9506,3.5126,3
26178,79940.1005,51728.9984,10.5000,4.8279,0.1471,1.3542,3
26179,79693.5831,51734.8444,8.0000,3.6784,0.9789,2.6703,3
26180,79782.1481,51862.7701,12.0000,5.5176,0.5513,3.4357,3
26181,80212.0008,51876.0943,11.0000,5.0578,0.8194,3.0670,3
26182,80034.4355,51938.0652,12.5000,5.7475,1.0000,2.2521,3
26186,80245.0916,51662.3988,12.0000,5.5176,0.7586,3.3210,3
26503,80169.4985,51899.5620,19.0000,8.7362,1.0000,2.9847,3
26510,79781.7912,51862.4704,13.0000,5.9774,0.5783,3.4267,3
26511,80119.9211,51893.1720,15.5000,7.1269,0.9792,2.8800,3
26512,79932.4734,51894.3430,5.5000,2.5289,0.0000,0.3176,2
26513,80036.1707,51940.0640,12.0000,5.5176,1.0000,2.1764,3
26514,80181.7652,52092.4795,10.5000,4.8279,1.0000,3.2550,3
26702,79789.4536,52029.8953,16.5000,7.5867,0.9180,3.1691,3
26703,80181.1852,52091.9735,11.0000,5.0578,1.0000,3.1276,3
56974,79587.9296,51931.7928,9.0000,4.1382,0.7059,3.1588,3
57066,79680.0577,51478.2885,20.5000,9.4259,0.9189,3.1144,3
57067,79679.3961,51735.1157,10.0000,4.5980,1.0000,2.7335,3
