# THRESHOLDS_UNCALIBRATED -- RESEARCH USE ONLY. Do NOT use for clinical decisions. Composite grades use preliminary thresholds (0.10/0.20/0.35) that have not been calibrated against pathologist consensus.
slide_id,in_baseline,in_cohort,bl_total_cells,bl_pct_positive,bl_pct_2plus,bl_h_score,bl_mean_dab,bl_negative,bl_weak_1plus,bl_moderate_2plus,bl_strong_3plus,bl_eligible,co_total_cells,co_pct_2plus,co_h_score,co_mean_membrane_dab,co_mean_raw_dab,co_mean_completeness,co_mean_thickness_um,co_negative,co_weak_1plus,co_moderate_2plus,co_strong_3plus,co_n_measured,co_pct_measured,co_eligible,co_has_membrane,delta_total_cells,delta_pct_2plus,delta_h_score,eligibility_flip
CLDN0266,False,True,,,,,,,,,,,1535,0.0,0.0,0.0,0,0,0,1535,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0267,False,True,,,,,,,,,,,4859,0.0,0.0,0.0,0,0,0,4859,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0269,False,True,,,,,,,,,,,1334,0.0,0.0,0.0,0,0,0,1334,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0270,False,True,,,,,,,,,,,154,0.0,0.0,0.0,0,0,0,154,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0271,False,True,,,,,,,,,,,2343,0.0,0.0,0.0,0,0,0,2343,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0273,False,True,,,,,,,,,,,651,0.0,0.0,0.0,0,0,0,651,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0274,False,True,,,,,,,,,,,9078,0.0,0.0,0.0,0,0,0,9078,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0275,False,True,,,,,,,,,,,742,0.0,0.0,0.0,0,0,0,742,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0276,False,True,,,,,,,,,,,349,0.0,0.0,0.0,0,0,0,349,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0277,False,True,,,,,,,,,,,1342,0.0,0.0,0.0,0,0,0,1342,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0278,False,True,,,,,,,,,,,1287,0.0,0.0,0.0,0,0,0,1287,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0280,False,True,,,,,,,,,,,303,0.0,0.0,0.0,0,0,0,303,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0281,False,True,,,,,,,,,,,1553,0.0,0.0,0.0,0,0,0,1553,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0282,False,True,,,,,,,,,,,163390,0.0,0.0,0.0,0,0,0,163390,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0283,False,True,,,,,,,,,,,2759,0.0,0.0,0.0,0,0,0,2759,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0285,True,True,1083138,77.7661,14.272327256545333,97.0,0.1652,240824,687725,101264,53325,False,263,0.0,0.0,0.0,0,0,0,263,0,0,0,0,0.0,False,False,-1082875,-14.272327256545333,-97.0,BOTH_NOT_ELIGIBLE
CLDN0286,False,True,,,,,,,,,,,252615,0.0,0.0,0.0,0,0,0,252615,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0287,False,True,,,,,,,,,,,2747,0.0,0.0,0.0,0,0,0,2747,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0288,True,True,851734,88.5282,23.405429394623205,117.0,0.1821,97709,554673,156246,43106,False,595211,0.0,0.0,0.0,0,0,0,595211,0,0,0,0,0.0,False,False,-256523,-23.405429394623205,-117.0,BOTH_NOT_ELIGIBLE
CLDN0289,True,True,1421058,63.8758,5.284020778884465,71.1,0.1306,513346,832623,47252,27837,False,1384029,0.0,0.0,0.0,0,0,0,1384029,0,0,0,0,0.0,False,False,-37029,-5.284020778884465,-71.1,BOTH_NOT_ELIGIBLE
CLDN0290,True,True,1039252,69.7677,18.024983353411876,97.2,0.1918,314190,537737,89081,98244,False,756720,0.0,0.0,0.0,0,0,0,756720,0,0,0,0,0.0,False,False,-282532,-18.024983353411876,-97.2,BOTH_NOT_ELIGIBLE
CLDN0291,True,True,727222,61.0305,7.811369843046552,73.6,0.1549,283395,387021,22168,34638,False,413186,0.0,0.0,0.0,0,0,0,413186,0,0,0,0,0.0,False,False,-314036,-7.811369843046552,-73.6,BOTH_NOT_ELIGIBLE
CLDN0292,True,True,1944724,54.6342,3.792209074398218,61.0,0.1303,882239,988737,24481,49267,False,1528242,0.0,0.0,0.0,0,0,0,1528242,0,0,0,0,0.0,False,False,-416482,-3.792209074398218,-61.0,BOTH_NOT_ELIGIBLE
CLDN0293,True,True,538727,68.4595,11.509540082453636,87.0,0.1895,169917,306805,24262,37743,False,242326,0.0,0.0,0.0,0,0,0,242326,0,0,0,0,0.0,False,False,-296401,-11.509540082453636,-87.0,BOTH_NOT_ELIGIBLE
CLDN0294,True,True,1081833,58.3941,7.932000595285964,68.4,0.1277,450106,545916,63839,21972,False,590747,0.0,0.0,0.0,0,0,0,590747,0,0,0,0,0.0,False,False,-491086,-7.932000595285964,-68.4,BOTH_NOT_ELIGIBLE
CLDN0295,True,True,1006157,85.1055,28.27033951957796,123.3,0.2229,149862,571851,185063,99381,False,748806,0.0,0.0,0.0,0,0,0,748806,0,0,0,0,0.0,False,False,-257351,-28.27033951957796,-123.3,BOTH_NOT_ELIGIBLE
CLDN0296,True,True,1042108,69.0348,2.661432404318938,72.5,0.1243,322691,691682,18848,8887,False,808276,0.0,0.0,0.0,0,0,0,808276,0,0,0,0,0.0,False,False,-233832,-2.661432404318938,-72.5,BOTH_NOT_ELIGIBLE
CLDN0297,True,True,2036659,85.6985,4.900624012168949,92.3,0.1429,291273,1645577,64999,34810,False,1374697,0.0,0.0,0.0,0,0,0,1374697,0,0,0,0,0.0,False,False,-661962,-4.900624012168949,-92.3,BOTH_NOT_ELIGIBLE
CLDN0298,True,False,978519,71.8793,18.861974064887857,101.8,0.2147,275166,518785,76730,107838,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0299,True,True,889074,64.0704,3.5651700533363924,68.2,0.1198,319441,537936,26881,4816,False,904026,0.0,0.0,0.0,0,0,0,904026,0,0,0,0,0.0,False,False,14952,-3.5651700533363924,-68.2,BOTH_NOT_ELIGIBLE
CLDN0300,True,True,257392,36.6169,7.366196307577547,48.7,0.1333,163143,75289,6874,12086,False,149590,0.0,0.0,0.0,0,0,0,149590,0,0,0,0,0.0,False,False,-107802,-7.366196307577547,-48.7,BOTH_NOT_ELIGIBLE
CLDN0301,True,True,462130,55.6129,20.22807435137299,93.7,0.2764,205126,163524,11015,82465,False,227257,0.0,0.0,0.0,0,0,0,227257,0,0,0,0,0.0,False,False,-234873,-20.22807435137299,-93.7,BOTH_NOT_ELIGIBLE
CLDN0302,True,True,922329,75.397,19.93583634473165,107.2,0.2281,226921,511534,74779,109095,False,439807,0.0,0.0,0.0,0,0,0,439807,0,0,0,0,0.0,False,False,-482522,-19.93583634473165,-107.2,BOTH_NOT_ELIGIBLE
CLDN0303,True,True,473354,45.8046,5.228011171343223,55.0,0.1338,256536,192071,5807,18940,False,353736,0.0,0.0,0.0,0,0,0,353736,0,0,0,0,0.0,False,False,-119618,-5.228011171343223,-55.0,BOTH_NOT_ELIGIBLE
CLDN0304,True,True,232497,28.5354,2.2116414405347165,31.7,0.0993,166153,61202,2930,2212,False,96591,0.0,0.0,0.0,0,0,0,96591,0,0,0,0,0.0,False,False,-135906,-2.2116414405347165,-31.7,BOTH_NOT_ELIGIBLE
CLDN0305,True,True,522793,38.4024,3.304558400743698,43.5,0.1122,322028,183489,7741,9535,False,494022,0.0,0.0,0.0,0,0,0,494022,0,0,0,0,0.0,False,False,-28771,-3.304558400743698,-43.5,BOTH_NOT_ELIGIBLE
CLDN0306,True,True,415985,67.1873,26.821159416805894,113.2,0.2453,136496,167917,31917,79655,False,113367,0.0,0.0,0.0,0,0,0,113367,0,0,0,0,0.0,False,False,-302618,-26.821159416805894,-113.2,BOTH_NOT_ELIGIBLE
CLDN0307,True,True,238497,35.5988,7.163612120907182,45.8,0.1176,153595,67817,9927,7158,False,87448,0.0,0.0,0.0,0,0,0,87448,0,0,0,0,0.0,False,False,-151049,-7.163612120907182,-45.8,BOTH_NOT_ELIGIBLE
CLDN0308,True,True,368432,85.3696,52.79291701046598,178.8,0.4725,53903,120023,44709,149797,False,114137,0.0,0.0,0.0,0,0,0,114137,0,0,0,0,0.0,False,False,-254295,-52.79291701046598,-178.8,BOTH_NOT_ELIGIBLE
CLDN0309,True,True,1305741,85.6158,32.14021770014114,128.0,0.2071,187821,698252,285403,134265,False,698239,0.0,0.0,0.0,0,0,0,698239,0,0,0,0,0.0,False,False,-607502,-32.14021770014114,-128.0,BOTH_NOT_ELIGIBLE
CLDN0310,True,True,723240,63.6715,7.2117139538742325,73.9,0.1391,262742,408340,30455,21703,False,642960,0.0,0.0,0.0,0,0,0,642960,0,0,0,0,0.0,False,False,-80280,-7.2117139538742325,-73.9,BOTH_NOT_ELIGIBLE
CLDN0311,True,True,294851,89.9821,31.084174718756252,136.1,0.2521,29538,173661,47442,44210,False,87781,0.0,0.0,0.0,0,0,0,87781,0,0,0,0,0.0,False,False,-207070,-31.084174718756252,-136.1,BOTH_NOT_ELIGIBLE
CLDN0312,False,True,,,,,,,,,,,803252,0.0,0.0,0.0,0,0,0,803252,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0313,True,True,372610,84.6276,11.162878076272778,97.0,0.1471,57279,273737,37227,4367,False,354097,0.0,0.0,0.0,0,0,0,354097,0,0,0,0,0.0,False,False,-18513,-11.162878076272778,-97.0,BOTH_NOT_ELIGIBLE
CLDN0314,True,True,785266,89.0235,31.48996645722596,139.0,0.3094,86195,451791,102080,145200,False,223801,0.0,0.0,0.0,0,0,0,223801,0,0,0,0,0.0,False,False,-561465,-31.48996645722596,-139.0,BOTH_NOT_ELIGIBLE
CLDN0315,True,True,1355162,95.5667,50.7446342208533,174.6,0.3531,60078,607412,304939,382733,False,436862,0.0,0.0,0.0,0,0,0,436862,0,0,0,0,0.0,False,False,-918300,-50.7446342208533,-174.6,BOTH_NOT_ELIGIBLE
CLDN0316,True,True,784068,96.5372,52.1831014656892,176.2,0.3453,27151,347766,193817,215334,False,512379,0.0,0.0,0.0,0,0,0,512379,0,0,0,0,0.0,False,False,-271689,-52.1831014656892,-176.2,BOTH_NOT_ELIGIBLE
CLDN0317,True,True,615760,92.8914,37.623099909055476,149.2,0.3277,43772,340320,116526,115142,False,276685,0.0,0.0,0.0,0,0,0,276685,0,0,0,0,0.0,False,False,-339075,-37.623099909055476,-149.2,BOTH_NOT_ELIGIBLE
CLDN0318,True,True,925600,77.5577,25.294403630077788,119.7,0.2389,207726,483749,78399,155726,False,516995,0.0,0.0,0.0,0,0,0,516995,0,0,0,0,0.0,False,False,-408605,-25.294403630077788,-119.7,BOTH_NOT_ELIGIBLE
CLDN0319,True,True,224921,69.7316,16.981962555741795,92.6,0.1659,68080,118645,24990,13206,False,40301,0.0,0.0,0.0,0,0,0,40301,0,0,0,0,0.0,False,False,-184620,-16.981962555741795,-92.6,BOTH_NOT_ELIGIBLE
CLDN0320,True,True,1579893,92.4882,39.913399198553314,150.9,0.2645,118679,830625,337938,292651,False,807291,0.0,0.0,0.0,0,0,0,807291,0,0,0,0,0.0,False,False,-772602,-39.913399198553314,-150.9,BOTH_NOT_ELIGIBLE
CLDN0321,True,True,1446402,74.6601,19.17986839066871,103.5,0.1998,366517,802467,137837,139581,False,318280,0.0,0.0,0.0,0,0,0,318280,0,0,0,0,0.0,False,False,-1128122,-19.17986839066871,-103.5,BOTH_NOT_ELIGIBLE
CLDN0322,True,True,774856,86.1488,21.992086271513674,115.1,0.2014,107327,497122,116338,54069,False,586799,0.0,0.0,0.0,0,0,0,586799,0,0,0,0,0.0,False,False,-188057,-21.992086271513674,-115.1,BOTH_NOT_ELIGIBLE
CLDN0323,True,True,2126566,88.4083,17.96798218348267,108.3,0.165,246506,1497959,341123,40978,False,1830368,0.0,0.0,0.0,0,0,0,1830368,0,0,0,0,0.0,False,False,-296198,-17.96798218348267,-108.3,BOTH_NOT_ELIGIBLE
CLDN0324,True,True,277240,89.9968,38.50779108353773,150.1,0.3409,27733,142748,46842,59917,False,87993,0.0,0.0,0.0,0,0,0,87993,0,0,0,0,0.0,False,False,-189247,-38.50779108353773,-150.1,BOTH_NOT_ELIGIBLE
CLDN0325,True,True,819489,61.231,25.761053534580697,102.7,0.2342,317708,290672,82571,128538,False,205107,0.0,0.0,0.0,0,0,0,205107,0,0,0,0,0.0,False,False,-614382,-25.761053534580697,-102.7,BOTH_NOT_ELIGIBLE
CLDN0326,True,True,589473,47.0145,20.417898699346704,84.3,0.251,312335,156780,20708,99650,False,123015,0.0,0.0,0.0,0,0,0,123015,0,0,0,0,0.0,False,False,-466458,-20.417898699346704,-84.3,BOTH_NOT_ELIGIBLE
CLDN0327,True,True,2041222,70.2045,1.281732217269851,71.5,0.118,608192,1406867,25347,816,False,1530162,0.0,0.0,0.0,0,0,0,1530162,0,0,0,0,0.0,False,False,-511060,-1.281732217269851,-71.5,BOTH_NOT_ELIGIBLE
